date,campaign_id,spend,impressions,clicks,sessions,bookings,revenue
2024-10-16,1,226.62,2833,119,101,4,1851.05
2024-10-17,1,224.15,2785,117,108,1,319.65
2024-10-18,1,221.22,2761,116,100,0,0.0
2024-10-19,1,174.72,2166,91,82,0,0.0
2024-10-20,1,270.04,3380,142,117,4,1819.16
2024-10-21,1,224.13,2785,117,98,0,0.0
2024-10-22,1,150.85,1880,79,66,0,0.0
2024-10-23,1,258.56,3238,136,126,0,0.0
2024-10-24,1,249.6,3119,131,107,0,0.0
2024-10-25,1,289.76,3619,152,126,0,0.0
2024-10-26,1,239.23,2976,125,108,0,0.0
2024-10-27,1,163.42,2047,86,77,1,1011.84
2024-10-28,1,211.69,2642,111,104,2,1694.8
2024-10-29,1,250.51,3119,131,115,0,0.0
2024-10-30,1,253.62,3166,133,124,1,199.69
2024-10-31,1,288.56,3595,151,139,1,539.92
2024-11-01,1,232.29,2904,122,112,0,0.0
2024-11-02,1,217.4,2714,114,103,0,0.0
2024-11-03,1,234.77,2928,123,113,0,0.0
2024-11-15,2,206.33,34090,375,338,2,856.02
2024-11-16,2,228.01,37636,414,384,1,692.4
2024-11-17,2,156.12,25727,283,235,0,0.0
2024-11-18,2,148.96,24545,270,228,0,0.0
2024-11-19,2,261.63,43181,475,405,1,321.08
2024-11-20,2,153.86,25363,279,245,0,0.0
2024-11-21,2,145.1,23909,263,217,0,0.0
2024-11-22,2,227.69,37545,413,348,0,0.0
2024-11-23,2,166.53,27454,302,275,2,991.88
2024-11-24,2,163.57,27000,297,260,0,0.0
2024-11-25,2,232.07,38272,421,372,0,0.0
2024-11-26,2,149.51,24636,271,231,2,364.42
2024-11-27,2,257.99,42636,469,399,0,0.0
2024-11-28,2,274.91,45363,499,420,1,234.03
2024-11-29,2,159.53,26363,290,257,0,0.0
2024-11-30,2,153.3,25272,278,231,0,0.0
2024-12-01,2,208.83,34454,379,318,4,725.74
2024-12-02,2,237.04,39090,430,369,0,0.0
2024-12-03,2,159.53,26363,290,249,0,0.0
2024-12-04,2,188.23,31090,342,286,0,0.0
2024-12-05,2,205.29,33909,373,324,0,0.0
2024-12-06,2,152.68,25181,277,234,0,0.0
2024-12-07,2,250.7,41363,455,396,0,0.0
2024-12-08,2,161.87,26727,294,253,0,0.0
2024-12-09,2,222.41,36727,404,369,1,142.19
2024-12-10,2,224.92,37090,408,370,1,167.18
2024-12-11,2,215.95,35636,392,343,0,0.0
2024-12-12,2,186.28,30727,338,279,0,0.0
2024-12-13,2,200.22,33090,364,325,0,0.0
2024-12-14,2,191.84,31636,348,314,0,0.0
2024-12-15,2,140.66,23181,255,213,0,0.0
2024-12-16,2,146.75,24181,266,222,0,0.0
2024-12-17,2,246.31,40636,447,384,0,0.0
2024-12-18,2,212.37,35090,386,334,1,726.92
2024-12-19,2,197.1,32545,358,333,1,415.44
2024-12-20,2,198.32,32727,360,318,0,0.0
2024-12-21,2,135.94,22454,247,225,0,0.0
2024-12-22,2,209.62,34636,381,322,0,0.0
2024-12-23,2,274.82,45363,499,429,0,0.0
2024-12-24,2,207.14,34181,376,322,0,0.0
2024-12-25,2,174.27,28727,316,288,0,0.0
2024-12-26,2,189.2,31181,343,319,0,0.0
2024-12-27,2,218.84,36090,397,366,0,0.0
2024-12-28,2,246.28,40636,447,416,0,0.0
2025-01-06,3,250.56,4127,227,187,1,806.05
2025-01-07,3,179.3,2963,163,141,1,127.31
2025-01-08,3,188.55,3109,171,154,1,515.31
2025-01-09,3,254.86,4200,231,205,0,0.0
2025-01-10,3,194.89,3218,177,164,0,0.0
2025-01-11,3,221.03,3636,200,183,2,1475.59
2025-01-12,3,216.02,3563,196,171,0,0.0
2025-01-13,3,232.96,3836,211,182,0,0.0
2025-01-14,3,238.72,3945,217,179,0,0.0
2025-01-15,3,272.89,4509,248,225,1,189.63
2025-01-16,3,234.97,3872,213,194,0,0.0
2025-01-17,3,219.01,3618,199,173,0,0.0
2025-01-18,3,167.92,2763,152,140,0,0.0
2025-01-19,3,262.16,4327,238,221,0,0.0
2025-01-20,3,187.12,3090,170,140,0,0.0
2025-01-21,3,229.59,3781,208,184,0,0.0
2025-01-22,3,213.5,3527,194,161,1,561.69
2025-01-23,3,238.24,3927,216,190,2,779.61
2025-01-24,3,175.45,2890,159,131,0,0.0
2025-01-25,3,209.11,3454,190,166,0,0.0
2025-01-26,3,176.54,2909,160,132,0,0.0
2025-01-27,3,205.74,3400,187,163,1,529.16
2025-01-28,3,221.07,3636,200,175,2,368.04
2025-01-29,3,197.76,3254,179,166,1,169.63
2025-01-30,3,185.97,3072,169,149,0,0.0
2025-01-31,3,257.8,4254,234,205,1,204.14
2025-02-01,3,173.13,2854,157,133,1,743.19
2025-02-02,3,168.85,2781,153,133,0,0.0
2025-02-03,3,194.67,3200,176,147,0,0.0
2025-02-04,3,133.1,2181,120,108,0,0.0
2025-02-05,3,215.24,3545,195,166,0,0.0
2025-02-06,3,234.71,3872,213,199,1,597.54
2025-02-07,3,256.01,4218,232,212,2,538.73
2025-02-08,3,208.53,3436,189,168,2,1902.01
2025-02-09,3,236.2,3890,214,187,0,0.0
2025-02-10,3,172.28,2836,156,139,0,0.0
2025-02-11,3,188.72,3109,171,149,0,0.0
2025-02-12,3,180.96,2981,164,147,1,517.38
2025-02-13,3,167.87,2763,152,140,0,0.0
2025-02-14,3,166.91,2745,151,139,0,0.0
2025-02-15,3,172.66,2836,156,138,1,181.08
2025-02-16,3,178.37,2945,162,139,0,0.0
2025-02-17,3,187.4,3090,170,144,0,0.0
2025-02-18,3,215.41,3545,195,163,0,0.0
2025-02-19,3,149.48,2454,135,117,0,0.0
2025-02-20,3,212.46,3509,193,163,1,412.74
2025-02-21,3,207.09,3418,188,165,0,0.0
2025-02-22,3,211.1,3472,191,159,0,0.0
2025-02-23,3,237.83,3927,216,199,0,0.0
2025-02-24,3,213.2,3509,193,167,0,0.0
2025-02-25,3,225.53,3727,205,175,0,0.0
2025-02-26,3,161.76,2672,147,126,0,0.0
2025-02-27,3,230.13,3800,209,189,0,0.0
2025-02-28,3,211.79,3490,192,163,0,0.0
2025-01-27,4,0.0,1250,300,274,0,0.0
2025-01-28,4,0.0,1175,282,246,2,2101.8
2025-01-29,4,0.0,1541,370,333,0,0.0
2025-01-30,4,0.0,1333,320,298,3,830.64
2025-01-31,4,0.0,1079,259,240,0,0.0
2025-02-01,4,0.0,1416,340,314,1,527.64
2025-02-02,4,0.0,1429,343,311,0,0.0
2025-02-03,4,0.0,1033,248,220,0,0.0
2025-02-04,4,0.0,1433,344,318,0,0.0
2025-02-05,4,0.0,1079,259,226,0,0.0
2025-02-06,4,0.0,1145,275,235,0,0.0
2025-02-07,4,0.0,1033,248,229,0,0.0
2025-02-08,4,0.0,1312,315,269,0,0.0
2025-02-09,4,0.0,1416,340,288,0,0.0
2025-02-10,4,0.0,1270,305,280,0,0.0
2025-02-11,4,0.0,1191,286,248,0,0.0
2025-02-12,4,0.0,1391,334,308,0,0.0
2025-02-13,4,0.0,1179,283,239,0,0.0
2025-03-03,5,384.24,4809,202,166,4,2332.14
2025-03-04,5,363.46,4547,191,170,2,593.65
2025-03-05,5,398.77,4976,209,189,0,0.0
2025-03-06,5,323.68,4047,170,145,5,2493.73
2025-03-07,5,160.21,1999,84,73,2,413.42
2025-03-08,5,261.03,3261,137,113,1,397.42
2025-03-09,5,362.68,4523,190,175,3,1326.73
2025-03-10,5,444.68,5571,234,216,4,4017.94
2025-03-11,5,387.96,4857,204,176,1,755.79
2025-03-12,5,314.19,3928,165,147,4,1488.48
2025-03-13,5,373.46,4666,196,171,4,1609.89
2025-03-14,5,267.31,3333,140,127,3,3350.98
2025-03-15,5,272.95,3404,143,119,5,1575.65
2025-03-16,5,441.4,5523,232,214,3,3059.42
2025-03-17,5,290.78,3642,153,137,2,1078.48
2025-03-18,5,355.71,4452,187,167,3,2008.16
2025-03-19,5,263.61,3285,138,125,3,1300.2
2025-03-20,5,310.58,3880,163,145,1,485.06
2025-03-21,5,303.07,3785,159,143,5,3154.72
2025-03-22,5,317.5,3976,167,149,4,2575.07
2025-03-23,5,253.86,3166,133,110,1,561.32
2025-03-24,5,396.52,4952,208,179,0,0.0
2025-03-25,5,415.42,5190,218,183,3,1018.22
2025-03-26,5,306.26,3833,161,139,1,695.76
2025-03-27,5,326.33,4071,171,149,0,0.0
2025-03-28,5,343.3,4285,180,148,2,683.92
2025-03-29,5,372.67,4666,196,161,3,2583.54
2025-03-30,5,342.43,4285,180,163,0,0.0
2025-03-31,5,336.44,4214,177,152,3,2345.48
2025-04-01,5,291.31,3642,153,126,0,0.0
2025-04-02,5,231.54,2880,121,107,1,233.57
2025-04-03,5,225.87,2809,118,100,1,495.6
2025-04-04,5,293.62,3666,154,135,2,1271.34
2025-04-05,5,329.45,4119,173,148,0,0.0
2025-04-06,5,284.64,3547,149,127,0,0.0
2025-04-07,5,241.72,3023,127,109,1,254.06
2025-04-08,5,363.14,4547,191,178,1,254.01
2025-04-09,5,376.97,4714,198,179,0,0.0
2025-04-10,5,158.1,1976,83,74,1,1145.32
2025-04-11,5,277.27,3452,145,130,1,573.96
2025-04-12,5,250.4,3119,131,121,0,0.0
2025-04-13,5,234.69,2928,123,103,0,0.0
2025-04-14,5,207.52,2595,109,98,0,0.0
2025-04-15,5,240.3,3000,126,109,0,0.0
2025-04-16,5,413.02,5166,217,190,0,0.0
2025-04-17,5,350.11,4380,184,170,0,0.0
2025-04-18,5,351.13,4380,184,154,0,0.0
2025-04-19,5,322.24,4023,169,155,0,0.0
2025-04-20,5,355.99,4452,187,156,0,0.0
2025-05-12,6,263.24,43454,478,398,1,1294.6
2025-05-13,6,230.01,38000,418,374,1,302.45
2025-05-14,6,189.73,31272,344,283,1,1196.72
2025-05-15,6,242.4,40000,440,377,0,0.0
2025-05-16,6,235.95,38909,428,363,0,0.0
2025-05-17,6,249.36,41181,453,419,2,919.45
2025-05-18,6,284.46,47000,517,427,3,1983.17
2025-05-19,6,319.58,52818,581,505,1,1281.4
2025-05-20,6,223.58,36909,406,359,3,1945.82
2025-05-21,6,209.0,34454,379,344,1,545.3
2025-05-22,6,256.22,42272,465,401,1,1724.94
2025-05-23,6,302.34,49909,549,498,0,0.0
2025-05-24,6,190.24,31363,345,300,1,282.07
2025-05-25,6,230.15,38000,418,344,0,0.0
2025-05-26,6,288.02,47545,523,456,0,0.0
2025-05-27,6,224.41,37090,408,348,2,922.56
2025-05-28,6,128.17,21181,233,210,0,0.0
2025-05-29,6,266.49,44000,484,421,0,0.0
2025-05-30,6,228.45,37727,415,359,1,357.64
2025-05-31,6,194.54,32090,353,294,0,0.0
2025-06-01,6,260.06,42909,472,394,0,0.0
2025-06-02,6,301.61,49818,548,456,0,0.0
2025-06-03,6,303.71,50181,552,476,2,1662.01
2025-06-04,6,224.81,37090,408,348,1,570.9
2025-06-05,6,174.28,28727,316,291,1,1292.45
2025-06-06,6,192.16,31727,349,301,1,1321.24
2025-06-07,6,233.47,38545,424,384,1,345.15
2025-06-08,6,257.8,42545,468,414,1,1150.0
2025-06-09,6,276.35,45636,502,415,0,0.0
2025-06-10,6,209.84,34636,381,327,0,0.0
2025-06-11,6,201.97,33363,367,316,0,0.0
2025-06-12,6,215.98,35636,392,346,2,3112.16
2025-06-13,6,221.0,36454,401,353,1,271.8
2025-06-14,6,244.43,40363,444,376,1,281.68
2025-06-15,6,257.4,42454,467,419,4,2157.94
2025-06-16,6,221.13,36545,402,340,1,971.91
2025-06-17,6,221.09,36454,401,376,2,2389.2
2025-06-18,6,97.6,16090,177,157,2,1858.32
2025-06-19,6,201.5,33272,366,340,0,0.0
2025-06-20,6,285.84,47181,519,440,0,0.0
2025-06-21,6,222.46,36727,404,352,2,943.2
2025-06-22,6,198.15,32727,360,318,3,1890.26
2025-06-23,6,210.06,34636,381,332,2,1908.46
2025-06-24,6,213.95,35272,388,355,2,616.78
2025-06-25,6,214.96,35454,390,342,2,2040.0
2025-06-26,6,289.97,47909,527,436,0,0.0
2025-06-27,6,233.32,38545,424,387,1,617.72
2025-06-28,6,270.43,44636,491,417,1,640.66
2025-06-29,6,182.02,30000,330,279,0,0.0
2025-06-30,6,168.28,27727,305,262,0,0.0
2025-07-01,6,272.78,45000,495,408,2,1920.14
2025-07-02,6,217.29,35909,395,348,1,1483.5
2025-07-03,6,317.52,52454,577,488,0,0.0
2025-07-04,6,219.56,36272,399,342,3,2381.46
2025-07-05,6,280.84,46363,510,460,1,278.2
2025-07-06,6,231.51,38181,420,388,1,1178.12
2025-07-07,6,223.16,36818,405,368,0,0.0
2025-07-08,6,223.33,36909,406,381,0,0.0
2025-07-09,6,170.34,28090,309,289,1,317.4
2025-07-10,6,223.49,36909,406,355,0,0.0
2025-07-11,6,230.89,38090,419,375,1,269.26
2025-07-12,6,183.83,30363,334,288,1,578.32
2025-07-13,6,205.81,34000,374,345,0,0.0
2025-07-14,6,246.29,40636,447,386,2,1782.68
2025-07-15,6,258.02,42636,469,409,2,1163.8
2025-07-16,6,166.69,27545,303,258,0,0.0
2025-07-17,6,170.8,28181,310,287,0,0.0
2025-07-18,6,245.97,40636,447,415,2,2222.71
2025-07-19,6,264.93,43727,481,410,2,629.23
2025-07-20,6,259.43,42818,471,425,0,0.0
2025-07-21,6,190.21,31363,345,302,0,0.0
2025-07-22,6,239.6,39545,435,387,1,872.55
2025-07-23,6,235.32,38818,427,373,2,1422.92
2025-07-24,6,246.73,40727,448,376,0,0.0
2025-07-25,6,287.21,47454,522,482,1,585.56
2025-07-26,6,182.37,30090,331,296,0,0.0
2025-07-27,6,275.69,45545,501,426,0,0.0
2025-07-28,6,253.36,41818,460,402,0,0.0
2025-07-29,6,234.05,38636,425,392,0,0.0
2025-07-30,6,291.48,48090,529,483,1,1359.8
2025-07-31,6,215.22,35545,391,349,0,0.0
2025-08-01,6,236.76,39090,430,352,1,291.14
2025-08-02,6,285.35,47090,518,427,0,0.0
2025-08-03,6,200.4,33090,364,320,0,0.0
2025-08-04,6,194.99,32181,354,299,0,0.0
2025-08-05,6,201.56,33272,366,320,0,0.0
2025-08-06,6,246.01,40636,447,388,0,0.0
2025-08-07,6,217.52,35909,395,335,0,0.0
2025-08-08,6,171.49,28272,311,275,0,0.0
2025-08-09,6,141.97,23454,258,235,0,0.0
2025-08-10,6,250.93,41454,456,412,0,0.0
2025-08-11,6,197.03,32545,358,303,0,0.0
2025-08-12,6,291.25,48090,529,461,0,0.0
2025-08-13,6,215.14,35545,391,363,0,0.0
2025-08-14,6,212.75,35090,386,335,0,0.0
2025-08-15,6,184.11,30363,334,300,0,0.0
2025-08-16,6,207.82,34272,377,318,0,0.0
2025-08-17,6,249.8,41272,454,384,0,0.0
2025-05-26,7,163.98,2047,86,76,3,959.06
2025-05-27,7,149.1,1857,78,66,1,882.3
2025-05-28,7,139.24,1738,73,62,5,4570.75
2025-05-29,7,206.27,2571,108,101,3,2222.54
2025-05-30,7,179.41,2238,94,82,2,595.35
2025-05-31,7,160.05,1999,84,76,5,3419.09
2025-06-01,7,181.6,2261,95,82,1,1020.0
2025-06-02,7,124.85,1547,65,58,2,900.82
2025-06-03,7,122.99,1523,64,54,3,2783.53
2025-06-04,7,193.12,2404,101,91,4,2778.72
2025-06-05,7,146.35,1833,77,63,4,2474.53
2025-06-06,7,210.43,2619,110,96,4,2315.14
2025-06-07,7,194.09,2428,102,86,3,1006.6
2025-06-08,7,173.58,2166,91,77,4,1888.26
2025-06-09,7,140.59,1738,73,66,6,4240.6
2025-06-10,7,171.92,2142,90,81,5,5420.57
2025-06-11,7,183.57,2285,96,79,4,3510.79
2025-06-12,7,236.01,2952,124,113,1,357.08
2025-06-13,7,182.32,2261,95,81,2,845.64
2025-06-14,7,162.16,2023,85,79,1,277.04
2025-06-15,7,136.44,1690,71,61,5,3631.98
2025-06-16,7,193.91,2428,102,87,2,1078.04
2025-06-17,7,132.95,1642,69,61,2,654.87
2025-06-18,7,157.44,1952,82,73,2,945.18
2025-06-19,7,149.43,1857,78,72,1,1420.12
2025-06-20,7,154.21,1928,81,69,3,2366.74
2025-06-21,7,236.86,2952,124,102,2,880.3
2025-06-22,7,156.66,1952,82,67,2,925.04
2025-06-23,7,226.31,2833,119,99,3,2165.29
2025-06-24,7,157.51,1952,82,71,1,569.24
2025-06-25,7,172.24,2142,90,79,1,940.89
2025-06-26,7,164.58,2047,86,78,1,662.74
2025-06-27,7,150.06,1857,78,70,0,0.0
2025-06-28,7,178.83,2238,94,87,4,4096.26
2025-06-29,7,188.91,2357,99,88,2,3925.67
2025-06-30,7,130.26,1619,68,63,3,1853.15
2025-07-01,7,212.19,2642,111,96,1,1477.6
2025-07-02,7,78.97,976,41,37,5,1630.9
2025-07-03,7,180.41,2238,94,84,4,2382.49
2025-07-04,7,162.36,2023,85,78,1,664.92
2025-07-05,7,174.67,2166,91,80,3,907.96
2025-07-06,7,214.17,2666,112,94,1,308.71
2025-07-07,7,159.06,1976,83,76,3,1942.52
2025-07-08,7,160.08,1999,84,70,2,3240.0
2025-07-09,7,157.44,1952,82,69,3,3202.12
2025-07-10,7,176.08,2190,92,77,1,306.91
2025-07-11,7,177.74,2214,93,77,3,2267.19
2025-07-12,7,187.63,2333,98,83,3,1950.1
2025-07-13,7,176.33,2190,92,77,2,1134.94
2025-07-14,7,209.43,2619,110,101,1,307.94
2025-07-15,7,174.92,2190,92,75,2,1995.04
2025-07-16,7,235.37,2928,123,106,1,2484.27
2025-07-17,7,168.68,2095,88,81,2,652.38
2025-07-18,7,180.81,2261,95,86,0,0.0
2025-07-19,7,136.61,1690,71,63,1,285.49
2025-07-20,7,145.89,1809,76,64,1,643.52
2025-07-21,7,156.18,1952,82,73,3,2810.95
2025-07-22,7,118.78,1476,62,51,0,0.0
2025-07-23,7,196.04,2452,103,85,0,0.0
2025-07-24,7,183.04,2285,96,83,1,1214.32
2025-07-25,7,110.1,1357,57,52,2,3153.29
2025-07-26,7,167.6,2095,88,73,2,899.74
2025-07-27,7,144.57,1809,76,69,1,348.43
2025-07-28,7,174.89,2190,92,84,0,0.0
2025-07-29,7,182.64,2285,96,86,4,2620.89
2025-07-30,7,181.11,2261,95,79,0,0.0
2025-07-31,7,144.48,1809,76,63,1,1404.12
2025-08-01,7,192.21,2404,101,85,0,0.0
2025-08-02,7,161.82,2023,85,69,0,0.0
2025-08-03,7,151.07,1880,79,67,1,1229.2
2025-08-04,7,171.07,2142,90,77,1,289.82
2025-08-05,7,153.27,1904,80,70,0,0.0
2025-08-06,7,153.57,1904,80,68,0,0.0
2025-08-07,7,171.64,2142,90,83,0,0.0
2025-08-08,7,180.17,2238,94,79,0,0.0
2025-08-09,7,228.2,2857,120,98,1,389.43
2025-08-10,7,178.77,2238,94,77,0,0.0
2025-08-18,8,0.0,1475,354,332,2,592.88
2025-08-19,8,0.0,1391,334,306,0,0.0
2025-08-20,8,0.0,1254,301,279,0,0.0
2025-08-21,8,0.0,1325,318,291,0,0.0
2025-08-22,8,0.0,1454,349,303,1,1522.68
2025-08-23,8,0.0,1458,350,312,0,0.0
2025-08-24,8,0.0,1462,351,314,0,0.0
2025-08-25,8,0.0,1491,358,304,0,0.0
2025-08-26,8,0.0,1116,268,228,0,0.0
2025-08-27,8,0.0,1416,340,309,0,0.0
2025-08-28,8,0.0,1220,293,255,0,0.0
2025-08-29,8,0.0,1900,456,378,0,0.0
2025-08-30,8,0.0,1316,316,273,0,0.0
2025-08-31,8,0.0,1279,307,256,0,0.0
2025-09-08,9,324.8,4047,170,142,2,3346.08
2025-09-09,9,276.62,3452,145,131,2,1869.52
2025-09-10,9,347.24,4333,182,169,1,1687.92
2025-09-11,9,392.41,4904,206,169,2,627.2
2025-09-12,9,232.66,2904,122,106,5,3089.2
2025-09-13,9,284.71,3547,149,129,4,2067.16
2025-09-14,9,252.1,3142,132,118,2,2721.82
2025-09-15,9,294.87,3690,155,139,4,1656.2
2025-09-16,9,339.0,4238,178,158,1,1138.32
2025-09-17,9,303.15,3785,159,144,3,1891.04
2025-09-18,9,199.98,2500,105,91,0,0.0
2025-09-19,9,268.48,3357,141,126,4,2381.22
2025-09-20,9,343.28,4285,180,159,2,1347.54
2025-09-21,9,299.04,3738,157,128,3,1901.48
2025-09-22,9,171.96,2142,90,82,2,1453.91
2025-09-23,9,266.97,3333,140,122,1,1794.06
2025-09-24,9,345.02,4309,181,160,3,1060.41
2025-09-25,9,268.96,3357,141,115,5,3562.12
2025-09-26,9,335.96,4190,176,153,3,1072.37
2025-09-27,9,248.05,3095,130,109,1,264.76
2025-09-28,9,296.21,3690,155,140,1,202.0
2025-09-29,9,219.36,2738,115,102,5,1683.42
2025-09-30,9,287.25,3595,151,128,4,2400.38
2025-10-01,9,304.56,3809,160,134,1,569.84
2025-10-02,9,233.12,2904,122,114,1,534.2
2025-10-03,9,321.68,4023,169,145,3,629.74
2025-10-04,9,236.64,2952,124,110,4,2164.63
2025-10-05,9,327.26,4095,172,144,1,437.64
2025-10-06,9,289.34,3619,152,125,3,1109.95
2025-10-07,9,315.12,3928,165,140,3,1385.29
2025-10-08,9,214.43,2666,112,98,4,2648.91
2025-10-09,9,163.05,2023,85,79,3,2205.22
2025-10-10,9,353.28,4404,185,157,0,0.0
2025-10-11,9,266.48,3333,140,121,0,0.0
2025-10-12,9,355.38,4452,187,174,3,1277.05
2025-10-13,9,295.63,3690,155,133,2,487.89
2025-10-14,9,266.6,3333,140,122,1,286.26
2025-10-15,9,407.07,5095,214,188,2,1441.42
2025-10-16,9,300.7,3761,158,148,2,464.87
2025-10-17,9,307.05,3833,161,141,1,184.72
2025-10-18,9,207.76,2595,109,96,3,744.84
2025-10-19,9,318.72,3976,167,141,0,0.0
2025-10-20,9,267.74,3333,140,119,2,1031.36
2025-10-21,9,257.87,3214,135,123,1,847.86
2025-10-22,9,343.73,4285,180,151,1,497.2
2025-10-23,9,286.52,3571,150,132,1,277.82
2025-10-24,9,315.86,3952,166,141,2,797.96
2025-10-25,9,378.61,4738,199,167,1,234.85
2025-10-26,9,270.52,3380,142,120,0,0.0
2025-10-27,9,312.93,3904,164,148,0,0.0
2025-10-28,9,279.51,3500,147,128,0,0.0
2025-10-29,9,358.51,4476,188,162,1,238.71
2025-10-30,9,319.28,3999,168,145,0,0.0
2025-10-31,9,347.68,4333,182,150,1,593.98
2025-11-01,9,382.02,4785,201,173,0,0.0
2025-11-02,9,239.98,3000,126,112,0,0.0
2025-11-14,10,249.92,41272,454,409,0,0.0
2025-11-15,10,350.66,57909,637,555,0,0.0
2025-11-16,10,261.3,43181,475,406,1,1730.52
2025-11-17,10,206.48,34090,375,342,1,615.6
2025-11-18,10,182.97,30181,332,286,0,0.0
2025-11-19,10,238.34,39363,433,355,0,0.0
2025-11-20,10,276.08,45545,501,420,1,229.32
2025-11-21,10,217.8,36000,396,330,0,0.0
2025-11-22,10,266.26,44000,484,446,1,223.33
2025-11-23,10,189.25,31272,344,299,0,0.0
2025-11-24,10,295.25,48727,536,476,0,0.0
2025-11-25,10,252.97,41727,459,385,0,0.0
2025-11-26,10,267.71,44181,486,427,0,0.0
2025-11-27,10,183.4,30272,333,303,0,0.0
2025-11-28,10,263.55,43545,479,444,1,727.84
2025-11-29,10,243.51,40181,442,383,0,0.0
2025-11-30,10,298.38,49272,542,453,1,203.27
2025-12-01,10,258.73,42727,470,405,0,0.0
2025-12-02,10,297.12,49090,540,446,1,402.18
2025-12-03,10,205.78,34000,374,311,0,0.0
2025-12-04,10,232.54,38363,422,352,0,0.0
2025-12-05,10,321.88,53181,585,529,0,0.0
2025-12-06,10,253.04,41818,460,414,1,177.53
2025-12-07,10,218.21,36000,396,339,1,162.55
2025-12-08,10,193.12,31909,351,316,1,181.72
2025-12-09,10,312.16,51545,567,473,1,154.8
2025-12-10,10,135.43,22363,246,203,0,0.0
2025-12-11,10,219.15,36181,398,360,0,0.0
2025-12-12,10,238.83,39454,434,373,1,206.31
2025-12-13,10,229.58,37909,417,390,0,0.0
2025-12-14,10,298.83,49363,543,463,1,414.24
2025-12-15,10,328.42,54272,597,556,0,0.0
2025-12-16,10,275.4,45454,500,436,0,0.0
2025-12-17,10,242.24,40000,440,407,0,0.0
2025-12-18,10,175.52,29000,319,292,0,0.0
2025-12-19,10,235.09,38818,427,381,0,0.0
2025-12-20,10,298.35,49272,542,445,0,0.0
2025-12-21,10,253.77,41909,461,393,0,0.0
2025-12-22,10,267.26,44090,485,400,0,0.0
2025-12-23,10,250.66,41363,455,402,0,0.0
2025-12-24,10,231.51,38181,420,392,0,0.0
2025-12-25,10,240.18,39636,436,379,0,0.0
2025-12-26,10,292.18,48272,531,458,0,0.0
2025-12-27,10,225.29,37181,409,381,0,0.0
2026-01-05,11,207.64,3418,188,165,0,0.0
2026-01-06,11,190.94,3145,173,153,2,1249.05
2026-01-07,11,258.39,4254,234,200,2,489.27
2026-01-08,11,209.15,3454,190,168,3,645.23
2026-01-09,11,221.05,3636,200,183,0,0.0
2026-01-10,11,190.08,3127,172,141,3,794.78
2026-01-11,11,165.87,2727,150,134,1,417.38
2026-01-12,11,218.06,3600,198,163,1,175.88
2026-01-13,11,173.21,2854,157,141,0,0.0
2026-01-14,11,276.06,4545,250,215,1,632.01
2026-01-15,11,223.6,3690,203,170,0,0.0
2026-01-16,11,262.26,4327,238,215,1,1281.36
2026-01-17,11,271.68,4472,246,206,0,0.0
2026-01-18,11,264.54,4363,240,203,1,425.38
2026-01-19,11,138.83,2290,126,105,1,190.87
2026-01-20,11,234.87,3872,213,196,1,786.2
2026-01-21,11,221.43,3654,201,185,2,967.02
2026-01-22,11,182.0,3000,165,140,2,597.96
2026-01-23,11,230.77,3800,209,185,1,593.79
2026-01-24,11,217.36,3581,197,164,5,2594.75
